Project URL,Commit URL,Commit Message
https://github.com/1mobilesuper/1mobile_download , https://github.com/1mobilesuper/1mobile_download/commit/2cca22d83866f71013cd6cf52ba7c1bd013b799d , 1.0.1:fix notification
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/2a972f94332abdc09b61dd75bd5c34c901f713c4 , mutate board when you warp. bugfixes. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/d321a748123742d93031ffdb57f4756affb230f1 , dragging bugfixes. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/904982ea80e9bd9f4525131b4d03585f40c7626f , fix clearing bug. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/08cc9dcdaae6ad66c990f35946ca6ab8582dd2aa , add warping instructions.  fixes gh-6. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/196e4785c5f2cfb424208b45198ee57788c0117e , add esc for pause.  fixes gh-5. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/9110d861317c989b213ee95a7b8399e14fb3ce8f , add a simple game over screen.  fixes gh-1. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/bac59560cfbc68866c39389de16eb20fe1c29858 , hilight individual tiles when you enter warp mode.  fixes gh-4. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/1ee5e69aefc4e20d13fd2dc946b77955fe2bff3e , show tiles available for dropping.  fixes gh-2. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/45e3f0a7f195f21dcaa7ea99abd084fc2d5649a5 , highlight drop target.  fixes gh-9. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/8e56b25b1c2753e79cd4caa76a329e5b929556ce , add initial sounds.  fixes gh-10. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/1a0f95f7a2afaeef68b7df38be73debb5a4a032e , add score and next piece preview.  fixes gh-14, updates gh-7. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/7beb4cafe352fababb9afdf4138e602f86ad186e , add scoring!  fixes gh-7. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/13fb740df90a46d0e2e68415a887098d6e8978f2 , add an entropy gauge.  this makes the board only mutate every 4 warps. the various components of the ui were also reorganized.  fixes gh-11. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/6fce55f0549a60616ff166e0da3310bfe0ab895a , add increasing levels.  fixes gh-8. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/2058d06520289ab3e5260dd5ef07625f84067c35 , don't update state when not focused.  fixes gh-15. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/deb501b50e7726d39f8a94c858ac6061d8f6a497 , move instructions rendering to code.  instead of using images for game over / instructions, render it from code (new instructionsrenderer class).  this fixes gh-16. 
https://github.com/jorgenpt/1GAM-01-Warptris , https://github.com/jorgenpt/1GAM-01-Warptris/commit/23164b3461c13934b561555d99325259f6666f0c , switch to x & c (instead of z & x).  fixes gh-13. 
https://github.com/michaelliao/shi-ci , https://github.com/michaelliao/shi-ci/commit/ab54eea3b85e4f7696558598a06a5b338bf0efbb , add static handler for debug 
https://github.com/michaelliao/shi-ci , https://github.com/michaelliao/shi-ci/commit/205c6a5342822cbfad6cb697d4a334adc98f7828 , fix poem page error 
https://github.com/michaelliao/shi-ci , https://github.com/michaelliao/shi-ci/commit/a692aa582b249896f8b0cf27847fd33ea798f7f1 , fix isempty() 
https://github.com/michaelliao/shi-ci , https://github.com/michaelliao/shi-ci/commit/e38068ac2171eae12e9bbce723a333b95ed20379 , fix mobile api 
https://github.com/michaelliao/shi-ci , https://github.com/michaelliao/shi-ci/commit/1a91c6fffdd94e19240405135135638a1640bfa2 , fix json data handler 
https://github.com/jenkinsci/svncompat14-plugin , https://github.com/jenkinsci/svncompat14-plugin/commit/49f72ef26c51fe41e5e59fd3dc701d5d02977edb , [fixed jenkins-11805] update plugin to requiredcore 1.392 
https://github.com/ewilcox/SimpleNote , https://github.com/ewilcox/SimpleNote/commit/6a42c3844b566da06019a76cf77e1ee860e843d4 , changed jquery mobile css and page is working now  was working before but apparently was not displaying the db stuff correctly 
https://github.com/dansimpson/chronos , https://github.com/dansimpson/chronos/commit/fc7ca2488fe811e054815b58d1c1173f2110095b , metrics archive wip * add notion of metrics archive, which compacts many metric values into a single column * fix paritionperiod for month and year 
https://github.com/dansimpson/chronos , https://github.com/dansimpson/chronos/commit/a0d492c9402940b09b1c5eb647691c3cf4987279 , fix bench reference to partition classes 
https://github.com/dansimpson/chronos , https://github.com/dansimpson/chronos/commit/886999653261cc9820f5c2337edf634ee8ddb2f9 , add datastax module * rev hector for chronos-cassandra * make read/write batch defaults writable 
https://github.com/dansimpson/chronos , https://github.com/dansimpson/chronos/commit/a1ce7cbe875ffce2c52e9fe48bd33cc038d0ce79 , fix bug partitionperiod.getparitionkeys(range) method which missed the last key for some ranges 
https://github.com/clacote/Shortener , https://github.com/clacote/Shortener/commit/fd5dfc06fe047e19b627a674aed0ff111fffb6cc , initial commit. simple shortener. no dependency injection (guice to be added). in memory data persistence (bad!). simple gwt screen to shorten url. rest api to be added. 
https://github.com/clacote/Shortener , https://github.com/clacote/Shortener/commit/b8e27d254c94b3a5e9d59ff4bac81287ab45bb61 , guice injection
https://github.com/clacote/Shortener , https://github.com/clacote/Shortener/commit/b2eaaafe97996417dddd90c660a6ee735162e472 , guice injection 
https://github.com/clacote/Shortener , https://github.com/clacote/Shortener/commit/21066679c2b415ba4a671dd6c5e2c4006676901b , fix junit tests with guice injection.
https://github.com/clacote/Shortener , https://github.com/clacote/Shortener/commit/667f7ee8ab5d4cc776a9550c84aef6ae8fad3b33 , fixed page title
https://github.com/nansenat16/arduino_base , https://github.com/nansenat16/arduino_base/commit/a044c97f9dbd78dc8fcc448e06e6a0b96be68161 , fix file name 
https://github.com/nansenat16/arduino_base , https://github.com/nansenat16/arduino_base/commit/1481c560d36ed461d49dd027354ec31502fc9b5b , fix typo 
https://github.com/nansenat16/arduino_base , https://github.com/nansenat16/arduino_base/commit/1d20040eb7b4919c2646ad5aa0d3fe9db5b45c03 , fix rst 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/7588f7655a463ceda90ea59c210f97038fae0566 , fix finaldb bugs 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/429e8f13d64586643fa1945ddf69efda4e5eedd1 , fix finaldb bugs;add some finaldb method;fix finalhttp bugs 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/e2b37c46fabbe59697cc2c1a83b2a37672bbba9d , fix bug 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/7a8017cbd7872609cd5f5034519fa9c2e0f7a09e , fix bugs 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/8b24dd3b571c2a6493b6d3a63e68874dd7b45136 , bug fix 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/4defe5c46a59304d0e4fb9db61256e925d666186 , fix bugs 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/850e44acfc9a044452e0bbd886ace4f0f93bbeaa , fix bugs 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/a22ab2bd2187cdbb408348600904608a35837726 , fix finalhttp bug 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/57eac879ad9b9d1d3538aaa7330f6d518577af38 , fix finalhttp bug 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/52e2f4832a78c458ad44f5ea052c677f46939040 , fix bugs 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/4a46afa6269890d7144df13859bc2ba609e484cb , fix finalhttp bugs 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/b1ca66794dbdf823ecc6166d5c003d3a24be78c1 , fix afinal bugs 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/9ea7f9aa6d8162a178713d27874807545c6cf277 , fix bug : clear cache can not load bitmap (must restart app) 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/c2763d66de35565d71db16c47aa45b7b7ae567f1 , fix bug nullpointexception in finalhttp 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/0218bea64dd2b241cb2243786f6a076e466d006c , fix finalhttp bug: exceptionhost name may not be null 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/508dcf53ea41a8d37a33bc08c4348088281a0632 , 修复finalhttp的getsync方法的一个bug，感谢网友（夏皓）提出 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/4feabcc8e26114da5b8dca79dc6e31c9402fa186 , merge pull request #25 from fantouch/fix_finalbimap.configdownloader()_not_working  修复finalbitmap.configdownlader(downloader downlader)无效的问题
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/7b93d7497d3e69b3e2a3e8f62c5a7721cdfe5bca , 修复一个引起空指针异常的bug 重现: 1.activity.oncreat()执行finalbitmap.create(),finalbitmap.configcompressformat(); 2.activity的生命周期里相应调用finalbitmap.onpause(),onresume(),ondestory() 3.退出activity,activity.ondestory()被执行,于是finalbitmap.ondestory()被执行 4.再次进入activity,finalbitmap.configcompressformat()报空指针
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/1f99a575e3f180d2b529b16935d41d59b7d5b31d , merge pull request #28 from fantouch/fixcrash_afterfinalbitmap.ondestroy()or.closecache(),reopentheappmaycrash  修复一个引起空指针异常的bug
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/938dc258a8f1c6d7bbcdd324ef304313c2287a1b , 修复 图片加载无法读取本地图片的bug
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/8de2d4e3300975485b45993168a3ccae309657ca , fix finalbitmap can't read sdcard image
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/3dbb1bd38f853db5810f8badf4c67a5f4a815cac , 修复onclick事件绑定出错的bug 
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/d11d9ab896f0d88a726180729b107e4d07ae1036 , merge pull request #36 from lsjwzh/master  修复onclick事件绑定出错的bug,完善manytoone的懒加载
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/0f0443f8287b98b061f58cc08623ba48c93b1022 , merge pull request #46 from fantouch/fix_finaldb_onetomany_not_work  修复finaldb onetomany无效的问题
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/37b2d67331e9723e80f5c6c485245c15fbabaa7c , fix finaldb:dropdb() exclude sqlite_sequence table
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/2fd1812bf746b3287aee37baa627b2d7c4265ef0 , 修复finalactivity无法绑定事件的bug
https://github.com/yangfuhai/afinal , https://github.com/yangfuhai/afinal/commit/28e418ee44f0e7536c1b7d086b4b208151100ee2 , 修复finaldb若干bug
https://github.com/joejcon1/worksnaps-widget , https://github.com/joejcon1/worksnaps-widget/commit/b9dd29c7d8ec9cadd694340ab7fc2b5f8c72e3b0 , layout fixes 
https://github.com/joejcon1/worksnaps-widget , https://github.com/joejcon1/worksnaps-widget/commit/11ae77da1c3ea08fae6a09279cc9e1ba48f0b2b3 , layout fix 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/4b26c86516abb0b1fe3d831d6e2e87e2e8f6874b , to include resources like icons and properties for build.  o address runtime error on missing icons. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/61afee7327b9c2a0f3aab67e781f04296325e530 , jar in a jar issue. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/04e20ca23b157fd99b5610743fab7577cec6a089 , bug fix for milestone 2006/05/09 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/c527d71fb0910c4720dc67827cb74d5c087dcc8d , bug fix for milestone 2006/05/09 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/ec092a21f18b7a06ccccac94e06c6acc0316f246 , bug fix for milestone 2006/05/09 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/c62de10bb022fc88e2a56754b20241934b58552d , jsfappconfigmanager: dynamic response to addition/removal of default app config file and addition/removal/changes to config_files context-param. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/20b5f322aacc331ffc4fe5b139d5ab9d25b6ef95 , change the default value of "show labels" to true. see bug 140959. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/89f1f6fe4d3fbff273841eaa97a324cb2d4c32bc , fix a bug: user change the from-outcome in source page, find that the overview navigation table not updated. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/6192a062ec4cd89b62d30f01425152865dcb1ea5 , fix a bug: user change the from-outcome in source page, find that the overview navigation table not updated. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/a1e8333dff141ac724a819338a355ecd4a6033c1 , add jsv, jtpl, jspx as valid jsp file extensions. see bug: 124230. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/98d2149069d8115dc20c8616c2158028d066ad22 , fix bug 141471: we should not cache the property sheet page instance. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/d67e175053d0a1e618a78a87f24e29b2fa2f857b , fix the bug: in navigation case page, open outline view two times, will got error and could not open.  remove the caching for outlinepage instance. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/d17ac4f0f0647ac51ff6d2e24b1f83c55146d609 , bug fix for page flow editor 2006-05-17 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/7484b1edc13f2235c52890755ae8b098fef09fd6 , apply patch on behalf of cameron bateman for bug 142354. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/52b5539e4f7ac1aa152cbd243cab31be3383a468 , jsfappconfigmanager; more graceful failure when error while loading from jar file. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/6e14232546ac446bd7c8b5cca689e0aca563f91a , jsfappconfigmanager; more graceful failure when error while loading from jar file - slight enhancement to log load error only once per instance, per vm session. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/617876a7f5148e99a4aa896e2df7c9be8b0e6dfc , avoid a npe error. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/6cbc203561dc3c381dd36aece995134deef8c0bd , rename nestedactionbarcontributor to inestedactionbarcontributor, because it's an interface. and also fix a classcastexception; remove mysourcepageactioncontributor.java. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/bc55e3e0fa99c177936bd096840aecc1166e2801 , fixed error in the manifest. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/1b6a7fba0ea7f0f56e7c768dd770a827b29f0cd3 , patched for cameron bateman. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/395aad18340ab964acbe4e0622aa9cff4c72510c , add resource string back.  removed by previous patch. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/395e542c68981c92c7a684d0aef2ca7b93a67f62 , fix for bug 143904. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/5635ac241c6cbc1f7aadba676c43b7953013d902 , applied cam's may 26th patches. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/49fca3064866b0a91b1ab8415bb9ddbbc2464aa1 , fix for bug 144057. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/20a3d920e4d30c940c8d6676560c6f0d4884cd28 , fix for bug 143774, set deploy jars to true by default. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/eec92e0b30beb03244f2cd174033d37ffeb11c9a , fix a bug in the map-entries edit group and list-entries edit group. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/8acb9179b23427caa653824a275ca346fdd1b047 , fix plug-in version to 0.5.0.qualifier. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/e58a27803cd3b05b952fb6f06502be64fe1f0099 , fixes for the following bugs.  144947: remove informational stack trace when creating a jsf library registry.  144954: support jsflibraries contribution. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/a0c14540d486061f20b36eb03092a2dc0fbdf672 , fixes for bug 144954, to support jsflibraries contribution. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/6a8ce91d0866931181d3a2947ec9c4a10ef606fa , relate to fixes for bug 144954, improve efficiency when constructing jar path collection. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/48d8819919f7266eec0fe892ca96ad2a3e1b9077 , checkin of cam's june2 checkpoint (https://bugs.eclipse.org/bugs/show_bug.cgi?id=145158) 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/40b3e0475cf266132c14093690bd87ba88e2dd06 , https://bugs.eclipse.org/bugs/show_bug.cgi?id=143866 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/5d5ce4aab8c9be6e5598eab7b71b23585a7ef635 , https://bugs.eclipse.org/bugs/show_bug.cgi?id=143868 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/a6847d43c7d0074b720155aebdfaffa62a9f11ae , fix a npe problem. -sfshi 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/76b624f170f4ae23fc32cccc22eae3966efba76c , https://bugs.eclipse.org/bugs/show_bug.cgi?id=145578 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/79ebf164ae6793aae5a679eb2de1c3af5ea24886 , patched on behalf of cameron bateman for bug 145900. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/a40b7eb8807facc5e2624b3f509795e5075ce429 , bug 145895 fix,  to synchronize jsf library configuration data between jsf facet install wizard page and jsf library reference property page. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/057f9aff66d19e8106c2a496382f64d4c2ac3c8e , fix for bug 146085, npe due to jsf library object was not instanciated. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/8d5cf3d607667a6890f68b169bf408d85a9bf716 , use the correct help context id. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/fdb42c3dc15c8af1670d4bb94d082b4ce56cf109 , remove fix for bug 145895 since bug 146041 is introduced. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/0f134d43771b9f35b9e527d8df565c332c8a75e2 , change to use uri.createplatformresourceuri(string pathname), instead of uri.createfileuri(string pathname). fix the bug 139759. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/5ae94181391975ace90a22a15afe2332badd2b82 , bug fix for 146046, log for each missing jsf library referenced in a jsf project. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/96b8407bd0e8cd9d48d96472a767cbec9c1a9b68 , fix ui label + copywrite 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/bf60fdf94c5b6a35215cbb0f00e60eb77206d4d8 , [bug 146903] ui offers jsf 1.2 in various places, but we do not yet support jsf 1.2. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/f01b2cda77d24e634559e6e75662372d40a5d95b , fix 145895, disable jsf library reference property page when jsf facet is not installed. 
https://github.com/eclipse/webtools.jsf , https://github.com/eclipse/webtools.jsf/commit/96ded67a15a0f75c3fbee02cf299edd6f5501f0d , fix for 146044, error accessing project before it exists during jsf facet installation.  handle an edge case where checking persistent properties should not occur when the project is just created. 
